,clust,Unnamed: 0,Murder,Assault,UrbanPop,Rape,Clust
0,2,Alabama,13.2,236,58,21.2,2
1,2,Alaska,10.0,263,48,44.5,2
2,0,Arizona,8.1,294,80,31.0,2
3,2,Arkansas,8.8,190,50,19.5,1
4,0,California,9.0,276,91,40.6,2
5,4,Colorado,7.9,204,78,38.7,1
6,1,Connecticut,3.3,110,77,11.1,1
7,0,Delaware,5.9,238,72,15.8,2
8,0,Florida,15.4,335,80,31.9,2
9,2,Georgia,17.4,211,60,25.8,2
10,1,Hawaii,5.3,46,83,20.2,0
11,3,Idaho,2.6,120,54,14.2,0
12,0,Illinois,10.4,249,83,24.0,2
13,1,Indiana,7.2,113,65,21.0,1
14,3,Iowa,2.2,56,57,11.3,0
15,1,Kansas,6.0,115,66,18.0,1
16,3,Kentucky,9.7,109,52,16.3,0
17,0,Louisiana,15.4,249,66,22.2,2
18,3,Maine,2.1,83,51,7.8,0
19,0,Maryland,11.3,300,67,27.8,2
20,4,Massachusetts,4.4,149,85,16.3,1
21,0,Michigan,12.1,255,74,35.1,2
22,1,Minnesota,2.7,72,66,14.9,0
23,2,Mississippi,16.1,259,44,17.1,2
24,4,Missouri,9.0,178,70,28.2,1
25,3,Montana,6.0,109,53,16.4,0
26,1,Nebraska,4.3,102,62,16.5,0
27,0,Nevada,12.2,252,81,46.0,2
28,3,New Hampshire,2.1,57,56,9.5,0
29,4,New Jersey,7.4,159,89,18.8,1
30,0,New Mexico,11.4,285,70,32.1,2
31,0,New York,11.1,254,86,26.1,2
32,2,North Carolina,13.0,337,45,16.1,2
33,3,North Dakota,0.8,45,44,7.3,0
34,1,Ohio,7.3,120,75,21.4,1
35,4,Oklahoma,6.6,151,68,20.0,1
36,4,Oregon,4.9,159,67,29.3,1
37,1,Pennsylvania,6.3,106,72,14.9,1
38,4,Rhode Island,3.4,174,87,8.3,1
39,2,South Carolina,14.4,279,48,22.5,2
40,3,South Dakota,3.8,86,45,12.8,0
41,4,Tennessee,13.2,188,59,26.9,1
42,4,Texas,12.7,201,80,25.5,1
43,1,Utah,3.2,120,80,22.9,1
44,3,Vermont,2.2,48,32,11.2,0
45,4,Virginia,8.5,156,63,20.7,1
46,4,Washington,4.0,145,73,26.2,1
47,3,West Virginia,5.7,81,39,9.3,0
48,1,Wisconsin,2.6,53,66,10.8,0
49,4,Wyoming,6.8,161,60,15.6,1
